GuidelineID;ConfigurationParameter;Target_Value;Default_Value;Is desired value the default?;ActionType;Negative Functional Impact;PowerCLI Command Assessment;PowerCLI Command Remediation;Able to set using Host Profile;Reference
VM.disable-unexposed-features-shellaction;isolation.ghi.host.shellAction.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.ghi.host.shellAction.disable"" | where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.ghi.host.shellAction.disable"" -value $true";N/A;
VM.disable-unexposed-features-toporequest;isolation.tools.dispTopoRequest.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.dispTopoRequest.disable""| where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.dispTopoRequest.disable"" -value $true";N/A;
VM.disable-unexposed-features-trashfolderstate;isolation.tools.trashFolderState.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.trashFolderState.disable""| where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.trashFolderState.disable"" -value $true";N/A;
VM.disable-unexposed-features-trayicon;isolation.tools.ghi.trayicon.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.ghi.trayicon.disable""| where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.ghi.trayicon.disable"" -value $true";N/A;
VM.disable-unexposed-features-unity;isolation.tools.unity.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.unity.disable""| where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.unity.disable"" -value $true";N/A;
VM.disable-unexposed-features-unity-interlock;isolation.tools.unityInterlockOperation.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.unityInterlockOperation.disable""| where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.unityInterlockOperation.disable"" -value $true";N/A;
VM.disable-unexposed-features-unitypush;isolation.tools.unity.push.update.disable;TRUE;Null;No;Add;None;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.unity.push.update.disable"" | where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.unity.push.update.disable"" -value $true";N/A;
VM.disable-unexposed-features-unity-taskbar;isolation.tools.unity.taskbar.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.unity.taskbar.disable"" | where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.unity.taskbar.disable"" -value $true";N/A;
VM.disable-unexposed-features-unity-unityactive;isolation.tools.unityActive.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.unityActive.disable"" | where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.unityActive.disable"" -value $True";N/A;
VM.disable-unexposed-features-unity-windowcontents;isolation.tools.unity.windowContents.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.unity.windowContents.disable"" | where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.unity.windowContents.disable"" -value $True";N/A;
